곡번호,곡제목,가수,작사,작곡
81349,내일이아름답도록(졸업가)(학교歌좋다뉴졸업가제작프로젝트),주니엘,홍다은,김도훈
75577,새벽을달려,스무살(Feat.주니엘),스무살,스무살
91916,그해겨울,아일(Feat.주니엘),I'LL,I'LL
46744,예뻐보여(미녀공심이OST),"딘딘,주니엘","DINDIN,어깨깡패1",어깨깡패1
46662,물고기자리,주니엘,JUNIEL,"JUNIEL,장재원"
29692,Everlasting Sunset,주니엘,"JUNIEL,CUL",JUNIEL
29659,Sorry,주니엘,한성호,"이현승,NEO GEN RONG"
29130,심쿵,니엘(Feat.주니엘),박창현,박창현
39132,연애하나봐,주니엘,"민연재,한성호",TWO FACE
38367,다음날,주니엘,용감한형제,용감한형제
37764,사랑이내려,"이종현,주니엘","JUNIEL,한승훈","이종현,박은우"
37139,감동이중요해,주니엘(Feat.한해),"정한해,최갑원",김도훈
36822,My Lips,주니엘,한성호,"서용배,한승훈"
36749,데이트(DATE),주니엘,"JUNIEL,김재양","JUNIEL,김재양"
36733,귀여운남자,주니엘,한성호,"TWO FACE,이상호"
36153,소년,주니엘,JUNIEL,JUNIEL
36109,나쁜사람,주니엘,한성호,"이희수,이상호"
35460,illa illa(일라일라),주니엘,한성호,"김도훈,이상호"
35397,바보,주니엘(With 정용화),한성호,정용화
